Date,Temp,Temp_max,Temp_min,precip
04-01,10.2,15.16,5.56,5.4
04-02,10.66,16.38,5.24,2.3
04-03,10.7,14.98,6.26,4.5
04-04,12.3,18.28,7.54,8
04-05,11.6,17.28,5.7,1.1
04-06,13.28,18.12,8.68,0.1
04-07,14.36,19.82,9.48,0.7
04-08,13.44,20.32,6.9,2.9
04-09,12.54,19.34,5.4,6.8
04-10,12.66,20.06,5.58,0.2
04-11,13.88,21.12,6.58,3.4
04-12,15.28,22.14,8.98,0.8
04-13,14.84,21.12,8.9,1.8
04-14,14.94,21.02,8.64,3.4
04-15,13.02,18.36,8.42,9.3
04-16,13.86,20.88,7.56,1.5
04-17,14.32,20.48,8.08,3
04-18,14.26,19.7,9.26,9
04-19,15.74,23.6,8.62,0
04-20,16.4,23.58,9.46,0.8
04-21,16.96,24,10.38,0.6
04-22,16.04,23.14,9.58,4.9
04-23,15.38,21.02,11.1,3.3
04-24,14.98,19.64,10.98,1.6
04-25,15.86,22.66,10.16,0.8
04-26,15.74,20.58,10.52,5.3
04-27,16.86,23.84,9.82,0.4
04-28,16.96,23.52,10.38,2
04-29,16.66,21.76,12.3,12.5
04-30,16.66,22.06,11.3,2.2
05-01,15.4,21.12,10.6,8.8
05-02,14.42,19.8,9.66,8.8
05-03,15.72,23.16,8.64,0
05-04,17.56,25.26,9.92,0
05-05,18.38,25.38,10.84,0.6
05-06,18.76,23.7,14.88,4.6
05-07,16.96,21.6,12.98,8.7
05-08,16.06,22.3,11.1,5.7
05-09,15.24,20.74,10.72,3
05-10,16.68,23.54,9.54,1.7
05-11,17.48,23.34,11.62,0
05-12,17,21.48,12.6,1.9
05-13,17.42,20.88,13.72,14.4
05-14,18.82,24.64,13.78,4.7
05-15,18.24,23.24,14.04,2.9
05-16,18.26,23.2,14.44,3.3
05-17,19.64,24.94,14.64,7
05-18,20.68,27.04,14.6,0.7
05-19,18.9,23.16,15.18,7.3
05-20,19.9,25.32,15.4,6.6
05-21,20.74,26.18,16.48,3.3
05-22,19.62,25.08,15.34,4.2
05-23,17.74,22.08,14.56,9.4
05-24,19.5,25.32,14.18,2.3
05-25,19.22,25.24,14.78,2.6
05-26,19.5,24.58,14.5,0
05-27,19.24,23.56,15.24,15.1
05-28,20.5,25.94,15.96,2.7
05-29,20.98,27.12,15.92,1.1
05-30,19.92,24.36,16.4,3.7
05-31,18.12,21.28,14.9,11.5
06-01,19.32,25.2,14.9,1
06-02,19.96,24.96,15.96,27
06-03,19.62,24.62,15.84,14.4
06-04,20.16,26.06,15.2,5.5
06-05,21.12,27.4,16.48,0.1
06-06,20.02,24.32,15.98,4.7
06-07,21.2,26.84,17.16,1
06-08,21.18,26.82,16.8,0.5
06-09,21.02,26.22,16.86,9.9
06-10,21.16,25.54,17.18,3.6
06-11,21.82,25.58,19.08,6.6
06-12,22.04,26.78,18.02,1.5
06-13,21.96,26.98,17.86,0.7
06-14,21.7,25.62,18.48,6.9
06-15,21.68,26.18,18.26,4.5
06-16,23.14,28,19.36,2.3
06-17,24.26,30.78,19.08,0.2
06-18,23.52,28.82,18.68,7.4
06-19,23.18,28.52,18.76,4.9
06-20,23.82,29.66,19.54,1.6
06-21,23.06,28.14,19.02,4.1
06-22,22.78,27.88,18.32,16.4
06-23,22.58,26.74,19.68,6.8
06-24,24.84,30.54,21.02,0
06-25,25.8,31.18,21.76,10.1
06-26,25.9,31.38,21.92,0.1
06-27,25.38,31.02,21.38,0.6
06-28,24.94,30.56,20.66,4.5
06-29,25.5,32.26,20.58,4.9
06-30,25.82,30.92,21.46,0.7
07-01,26.1,30.76,22.42,4.9
07-02,26.24,31.4,22.44,4.7
07-03,26.12,32,22.46,1.1
07-04,25.46,30.18,22.14,1.7
07-05,25.62,30.34,22.06,1.3
07-06,26.68,32.28,23.1,0.4
07-07,27.4,33.84,23.06,0
07-08,26.86,31.9,23.42,8.1
07-09,26.92,32.52,22.86,0.6
07-10,27.22,34.16,23.1,7.9
07-11,25.64,30.86,22.26,3.4
07-12,24.56,29.6,21.46,5.6
07-13,25.02,30.08,21.76,4.8
07-14,24.54,28.14,22.4,7.3
07-15,25.1,28.92,23,6.7
07-16,26.02,30.24,23.18,3.4
07-17,26.84,32.14,22.62,6.7
07-18,27.52,33.66,22.62,0
07-19,27.5,32.54,23.5,0
07-20,28.02,34.08,23.64,0
07-21,27.8,33.98,23.48,0
07-22,27.88,34.42,23.72,11
07-23,28.12,35.16,23.2,5.9
07-24,28.16,34.92,23.26,0
07-25,28.48,35.74,22.96,5.1
07-26,28.08,34.06,23.66,1.8
07-27,28.2,34.6,23.98,13.4
07-28,28.4,35.28,23.64,0.5
07-29,28.74,35.66,24.02,0
07-30,28.2,34.86,23.66,0.3
07-31,28.16,35.04,23.82,0.2
08-01,27.5,32.82,23.56,0.2
08-02,28.8,35.16,24.26,1.2
08-03,29.22,35.6,25.12,2.2
08-04,28.04,34.32,24.08,0
08-05,28,34.32,23.5,0
08-06,27.78,33.98,23.78,0
08-07,27.62,33,24.2,0.4
08-08,27.9,33.6,24.4,8.1
08-09,27.98,34.38,24.18,9.7
08-10,28.4,33.6,24.46,0.2
08-11,28.4,34.04,23.98,0.1
08-12,27.52,32.84,23.96,2.4
08-13,26.3,31.24,23.32,11.2
08-14,26.06,31.16,23.24,10.4
08-15,26.56,32.06,22.92,10.3
08-16,26.64,31.22,23.68,9.5
08-17,27.36,32.72,23.78,12.6
08-18,27.24,33.02,23.74,3.4
08-19,27.68,34.66,22.56,12.2
08-20,27.36,34.32,23.2,1.4
08-21,27.74,34,23.7,0
08-22,27.38,33.26,23.8,0
08-23,27.82,33.36,24.46,1.1
08-24,28.02,34.2,24.08,7.7
08-25,27.58,33.42,24.2,0.2
08-26,28.14,34.06,24.08,0
08-27,28.02,34.32,24.46,0.1
08-28,26.86,32.44,22.8,2.5
