Date,Temp,Temp_max,Temp_min,precip
04-01,11.22,15.94,7.14,7.1
04-02,11.8,16.7,7.36,2.3
04-03,11.32,15.28,8.02,4.9
04-04,12.6,18.28,7.88,8.5
04-05,12.26,17.94,6.44,0.5
04-06,13.98,18.46,10.08,0
04-07,15.24,20.64,10.54,0.6
04-08,14.5,20.6,9.08,1.9
04-09,13.68,20.2,7.6,5.3
04-10,13.46,20.54,6.86,0.2
04-11,14.74,21.78,7.88,0.2
04-12,16.08,22.9,10.22,0
04-13,15.76,21.4,10.5,3
04-14,15.38,21.82,9.26,3
04-15,13.56,18.6,9.44,7.8
04-16,14.64,21.3,9.6,0.7
04-17,15.2,20.72,9.98,3.4
04-18,14.82,19.72,10.36,5.7
04-19,16.84,24.04,10.98,0
04-20,17.44,24.5,10.92,0.3
04-21,18.18,24.98,12.58,0.8
04-22,16.92,23.82,10.88,3.6
04-23,16.16,21.24,11.76,2.2
04-24,15.48,19.66,11.62,3.1
04-25,16.78,22.96,10.88,0.3
04-26,16.12,20.3,11.84,4.2
04-27,17.94,24.42,11.8,0.2
04-28,17.86,24,12.12,1.6
04-29,17.12,22.28,12.56,10.5
04-30,17.22,22.32,12.8,1.4
05-01,15.94,21.62,11.36,8.1
05-02,15.24,21.04,10.9,12
05-03,16.64,23.98,9.72,0
05-04,18.74,26.82,11.32,0
05-05,19.28,25.88,11.92,0.5
05-06,19.42,24.62,14.98,4.6
05-07,17.56,22.64,13.54,7
05-08,16.82,22.82,11.9,4.4
05-09,15.88,21.1,11.8,3.2
05-10,17.38,24.12,10.48,2.3
05-11,18.18,24.02,12.66,0
05-12,17.62,22.08,12.8,3.7
05-13,17.72,21.14,14.4,12.3
05-14,19.32,25.16,14.96,2.3
05-15,18.84,23.64,14.68,2.2
05-16,18.76,23.94,15,2.2
05-17,20.08,24.84,15.44,4.5
05-18,21.3,27.84,15.02,1.1
05-19,19.54,23.68,15.86,6.1
05-20,20.26,25.94,15.52,3.8
05-21,21.32,26.4,17.16,1
05-22,20.08,25.56,15.66,10
05-23,18.16,22.84,14.5,9
05-24,20.24,25.92,14.86,2.1
05-25,19.88,25.64,15.2,1.8
05-26,20.3,25.36,15.52,0
05-27,19.46,23.82,15.84,16.6
05-28,20.74,26.26,15.96,2.3
05-29,21.94,27.72,17.08,0.9
05-30,20.62,25.22,16.86,2.8
05-31,18.8,21.72,15.94,10.8
06-01,20.16,26.02,15.26,0.5
06-02,20.2,24.92,16.48,24.7
06-03,20.12,25.06,16.88,13.2
06-04,20.9,26.52,16.22,4.1
06-05,21.92,28.06,16.82,0.1
06-06,20.66,25.08,17.1,6.3
06-07,21.98,27.32,18.16,0.9
06-08,22,27.22,18.12,1.2
06-09,21.62,26.28,17.54,7.7
06-10,21.52,25.68,18.16,22.3
06-11,22.04,25.42,19.3,5.1
06-12,22.46,26.98,18.7,2.4
06-13,22.68,27.56,18.78,0.8
06-14,22.18,26.08,19.08,3.4
06-15,22.26,27.14,18.86,5
06-16,23.6,28.76,19.7,3.5
06-17,24.92,31.34,19.76,0.4
06-18,24.24,29.42,19.96,8.6
06-19,24.14,29.5,19.76,4.4
06-20,24.64,30.42,20.52,1.4
06-21,23.58,28.38,19.86,2.4
06-22,23.6,28.64,19.34,13.1
06-23,22.72,26.8,19.8,7.9
06-24,25.3,31.22,21.08,1
06-25,26.6,31.64,22.58,2.9
06-26,26.72,31.98,22.92,1.2
