Date,Temp,Temp_max,Temp_min,precip
04-01,8.82,15.34,3.08,1.7
04-02,8.86,16.48,2.46,0.7
04-03,9.12,15.6,3.14,4.5
04-04,11.06,18.82,5.76,6
04-05,10.08,16.7,3.38,0.9
04-06,11.72,19.18,5.88,0.1
04-07,13.08,20.28,6.48,3.6
04-08,11.22,18.62,3.9,5.4
04-09,10.2,18.34,2.98,15.6
04-10,10.22,20.64,1.1,1.1
04-11,12.02,21.6,3.26,0.1
04-12,13.12,21.82,5.92,0.2
04-13,13.26,21.14,5.86,0.7
04-14,13.1,21.38,6.14,8.1
04-15,11.18,17.82,6,5.2
04-16,11.8,20.24,3.96,0.6
04-17,12.18,20.22,4.94,3
04-18,12.74,20.6,6.26,11.4
04-19,14.54,22.78,7.58,0
04-20,14.66,23.12,6.66,2
04-21,15.18,24.78,7.9,0.5
04-22,14.86,23.2,7.22,2.4
04-23,13.86,20.66,8.04,2.2
04-24,13.64,20.3,8.48,1.7
04-25,14.5,23.1,7.64,0.8
04-26,13.9,20.48,7.08,7
04-27,14.78,23.64,7.58,0.6
04-28,15.22,24.18,7.48,1.5
04-29,14.86,21.06,8.9,16.7
04-30,14.52,20.98,8.96,8
05-01,13.6,20.34,7.6,10.3
05-02,12.4,20.18,7,12.5
05-03,13.24,22.88,5.6,0.1
05-04,15.76,26.2,6.22,0
05-05,16.7,26.56,7.26,0.4
05-06,17.04,24.44,11.06,4
05-07,15.42,21.16,10.6,14.1
05-08,14.14,22.46,8.32,9.7
05-09,12.94,19.94,6.76,2.8
05-10,14.78,24,6.22,3.8
05-11,15.42,24.22,7.56,0
05-12,15.36,22.62,8.82,2.5
05-13,15.62,20.58,11.46,23.5
05-14,17.18,25,11.74,2.4
05-15,16.88,22.72,12.22,0.7
05-16,17.34,23.44,12.76,5.3
05-17,17.74,23.58,13.14,7.6
05-18,19.06,27.3,12.36,2
05-19,17.8,24.16,13.04,4.6
05-20,18.58,25.9,13.56,6
05-21,19.26,25.9,14.6,8.5
05-22,18.22,23.82,13.72,11.2
05-23,16.04,21.34,12.64,4.6
05-24,17.62,25.48,11.28,2
05-25,17.62,24.12,11.58,6.5
05-26,17.34,23.62,11.38,0
05-27,17.78,23.2,13.32,10.7
05-28,18.66,26.42,13.64,5.1
05-29,18.9,26.66,12.78,4.1
05-30,18.26,24.22,13.16,1.3
05-31,17,21.56,12.88,7.7
06-01,17.72,25.22,12.7,2.5
06-02,18.76,25.02,14.02,24.6
06-03,18.28,24.18,13.7,4.8
06-04,18.48,25.74,12.66,10.3
06-05,19.4,27.24,13.76,0.3
06-06,18.8,24.6,13.5,6.5
06-07,20.1,26.78,15.28,1.1
06-08,19.3,26.1,14.9,0
06-09,19.62,26.02,14.7,9.1
06-10,20,25.56,15.96,2.8
06-11,20.66,25.84,17.5,7
06-12,20.42,26.86,15.24,0.3
06-13,20.48,27.82,15.54,10.3
06-14,20.32,25.4,17.12,7.4
06-15,20.76,26.52,16.92,6
06-16,21.96,28.64,17.36,4.1
06-17,22.7,30.8,16.64,0.5
06-18,22.24,29.42,16.24,4.9
06-19,22.32,29.4,17.32,5.7
06-20,22.34,30.64,16.98,6.2
06-21,21.3,27.8,16.4,1
06-22,21.82,28.1,17.18,9
06-23,21.32,26.22,18.28,11.1
06-24,23.08,29.9,19.8,6.8
06-25,24.24,30.78,19.94,2.3
06-26,24.12,31.92,19.64,0.5
06-27,23.4,30.72,19.1,3.4
06-28,23.32,30.5,18.44,7.7
06-29,24,31.62,18.82,3.4
06-30,24.24,30.76,19.34,0.8
07-01,24.92,30.76,21.02,3.4
07-02,24.74,32.52,20.28,3.4
07-03,24.62,32.6,20.54,0.8
07-04,24.46,31.02,20.48,3.5
07-05,24.64,30.68,20.84,5.3
07-06,25.52,31.7,21.64,1.8
07-07,26.22,33.98,21,0.5
07-08,25.44,30.48,22.22,1.8
07-09,25.64,31.08,22.12,1.9
07-10,25.54,33.34,21.76,18.7
07-11,24.18,29.32,21.12,6.9
07-12,23.1,28.52,20.6,18.6
07-13,23.98,30.54,20.16,4.2
07-14,23.78,29.02,20.7,8.1
07-15,23.84,27.46,21.78,20.2
07-16,24.82,29.72,22.1,2.7
07-17,25.88,32.88,21.62,5.2
07-18,26.58,34.74,21.58,0
07-19,26.1,32.68,21.32,9
07-20,26.5,34.46,21.38,0.1
07-21,25.82,33.94,21.3,4.4
07-22,26.28,34.1,22.28,10.8
07-23,26.28,34.5,21.96,0.6
07-24,26.48,34.48,21.56,0
07-25,27.025,35.95,21.4,2.6
07-26,27.6,35.925,22.675,0.4
07-27,27.025,34.475,22.7,4.1
07-28,27.325,35.55,23.025,10.3
07-29,27.08,35.32,22.28,4.6
07-30,26.94,34.56,22.34,0.6
07-31,26.66,35.6,22.22,3.8
08-01,26.1,32.26,21.48,3.1
08-02,27.7,35.26,22.78,3.8
08-03,28.04,35.42,23.7,0.2
08-04,26.68,34.46,22.78,1.3
08-05,27.04,34.58,22.32,3.9
08-06,26.5,32.7,22.84,2.2
08-07,25.9,31.98,22.86,3.2
08-08,26.58,32.84,22.72,5.2
08-09,26.84,33.36,22.66,12.7
08-10,26.98,32.98,22.44,2.1
08-11,27.22,33.54,22.62,1.2
08-12,26.08,31.4,22.7,7.9
08-13,25.38,31.1,22.02,14.4
08-14,25.3,30.84,22.08,15.8
08-15,25.1,30.8,21.78,8.2
08-16,25.68,30.54,22.6,3.5
08-17,25.9,31.2,22.8,6.1
08-18,26.18,32.64,22.14,0.9
08-19,26.2,34.9,21.28,1
08-20,25.68,34.06,21.5,8.9
08-21,26.04,33.22,22.46,1.9
08-22,26.24,32.28,22,0.6
08-23,26.58,32.72,23.48,3
08-24,26.58,33.9,22.74,5.2
08-25,26.28,32.98,22.46,0.2
08-26,27.08,33.9,23.08,0
08-27,26.46,32.82,23.18,14.3
08-28,25.18,31.48,21.06,10.4
08-29,24.82,31.24,20.2,5.1
08-30,25.46,31.74,21.44,15.8
08-31,25.9,31.8,22.26,4.2
09-01,25.14,31.04,21.62,10.4
09-02,24.68,30.16,21.12,10.6
09-03,23.84,30.28,20.68,4.2
09-04,23.08,27.58,20.58,25
09-05,23.84,29.08,20.24,9.3
09-06,23.6,29.96,19.66,9
09-07,23.82,30.36,19.78,23.1
09-08,22.66,26.94,19.66,12.6
09-09,24.38,30.08,20.96,2.4
09-10,25.12,31.74,21.16,0.1
09-11,24.28,30.74,21.04,4.4
09-12,24.12,30.52,20.56,4.3
09-13,24.24,30.42,20.42,15.1
09-14,24.56,30.92,20.94,1
09-15,23.44,29.7,20.72,11
09-16,23.2,29.84,19.36,0
09-17,24.4,31.08,19.94,0.4
09-18,24.8,29.96,21.46,23
09-19,23.78,29.6,20.1,10.4
09-20,22.26,28.94,17.98,6.2
09-21,20.76,26.52,15.52,1.9
09-22,19.8,26.2,15.48,7.5
09-23,20.24,25.82,15.84,5.2
09-24,19.48,26.44,14.72,13.3
09-25,19.28,25.58,14.34,0.3
09-26,20.8,27.88,16.04,0
09-27,20.68,26.72,16.78,0
09-28,20.9,27.28,16.6,0
09-29,20.9,28.46,15.72,0
09-30,20.68,27.86,15.96,0.3
10-01,19.32,24.5,15.38,17.7
10-02,19.56,28.22,14,0
10-03,18.5,26,13.34,0.1
10-04,19.94,25.62,16.04,4.2
10-05,19.2,24.54,15.56,1.7
10-06,17.78,22.86,13.92,1.6
10-07,16.76,20.94,13.92,7.7
10-08,17.4,24.68,12.88,5.9
10-09,16.18,19.46,12.54,12.4
10-10,16.92,22.64,12.64,2.8
10-11,16.54,23,11.74,4.3
10-12,16.06,22.08,11.42,0.2
10-13,15.66,21.24,11.34,1.2
10-14,15.68,23.04,10.28,0.4
10-15,16.72,22.96,13.24,7.2
10-16,16.98,22.4,13.28,3.1
10-17,16.34,23.18,11.46,3.9
10-18,14.9,21.54,9.56,2.4
10-19,15.58,21.7,11.14,0.4
10-20,13.46,20.46,7.74,1.7
10-21,12.08,19.56,5.98,0.1
10-22,12.16,17.74,7.7,0.9
10-23,13.38,21.18,7.38,2.6
10-24,12.48,20.1,6.98,2.1
10-25,12.72,18.14,8.24,2.9
10-26,12.94,18.68,8,11
10-27,12.52,20.4,7,0.8
10-28,12.18,19.4,6.88,1.2
10-29,10.64,18.36,5.8,1.1
10-30,10.56,20.48,3.74,6.5
10-31,10.9,18.68,4.96,7.7
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
