Date,Temp,Temp_max,Temp_min,precip
04-01,10.36,14.68,6.56,7.5
04-02,10.66,15.18,6.06,11.4
04-03,10.46,14.78,6.16,4.8
04-04,12.32,18.1,7.66,7.8
04-05,11.62,16.6,6.18,1.9
04-06,13.54,18.2,9.1,1
04-07,13.92,18.58,9.88,1.4
04-08,13.16,18.84,8.56,3.8
04-09,12.44,19.38,5.66,5.9
04-10,12.66,19.3,5.64,0
04-11,14.08,20.9,6.74,0.1
04-12,14.88,20.72,9.06,0.3
04-13,14.44,19.58,8.88,1.4
04-14,14.66,20.32,8.76,12.5
04-15,12.98,17.96,8.76,9.6
04-16,14,20.74,7.78,2.5
04-17,14.2,20.18,7.86,2
04-18,14.76,20.18,9.74,12.1
04-19,16,22.36,10.26,0
04-20,16.58,22.86,10.3,0.4
04-21,16.28,22.4,10.56,1
04-22,15.84,22.62,10.12,4.6
04-23,15,19.44,10.76,3.1
04-24,14.46,18.7,10.94,2.8
04-25,15.78,22.12,10.22,0.6
04-26,15.56,20.42,10.82,6.3
04-27,16.7,22.42,10.52,0.2
04-28,16.52,22.56,10.7,2.6
04-29,16.48,21.2,11.86,15.9
04-30,16.22,20.92,11.64,3.6
05-01,15.14,20.64,9.94,9.2
05-02,14.28,19.18,9.64,18.9
05-03,15.36,22.22,8.74,0
05-04,17.66,24.88,9.6,0.3
05-05,18.68,25.1,10.68,0.3
05-06,18.76,23.28,15.24,5.8
05-07,16.8,21.7,13.04,9.3
05-08,15.82,20.9,11.66,7.1
05-09,14.9,20.6,10.82,3.2
05-10,16.74,22.5,10.1,2.4
05-11,17.16,22.48,11.16,0
05-12,16.78,20.8,12,2.2
05-13,17.24,21,13.34,19.8
05-14,18.38,23.4,13.96,1.8
05-15,18.06,22.3,14.18,0.3
05-16,18.28,22.8,14.66,3.8
05-17,20.3,25.16,15.02,9.8
05-18,20.26,26.54,14.76,0.4
05-19,19.02,23.58,14.88,5.9
05-20,19.66,24.72,15.5,6
05-21,21.16,25.92,16.7,2
05-22,18.46,22.68,15.28,3.6
05-23,17.06,20.98,14.12,7.9
05-24,19.16,24.72,13.64,1.9
05-25,18.48,23.4,13.78,3.8
05-26,18.92,23.5,13.9,0
05-27,19,22.66,15.7,11.5
05-28,19.92,25.32,15.66,4.8
05-29,20.28,26.16,15.52,2.2
05-30,19.08,22.9,15.98,11.4
05-31,17.48,20.76,14.24,9.7
06-01,18.58,23.46,14.58,0.4
06-02,19.94,24.74,15.62,32.9
06-03,19.3,23.38,16.2,17.1
06-04,20,24.82,15.54,5.6
06-05,20.6,25.7,16.4,0.1
06-06,20.28,24.72,15.74,8.1
06-07,21.16,25.78,17.5,1
06-08,20.78,25.5,16.9,0.6
06-09,20.56,25.42,16.8,16.7
06-10,20.8,24.96,17.7,3.9
06-11,21.42,24.54,19,8.5
06-12,21.32,25.82,17.54,1.3
06-13,21.44,25.32,17.7,3.3
06-14,21.22,24.86,18.78,3.9
06-15,21.58,25.16,18.7,5.1
06-16,23.2,27.86,19.44,2
06-17,24.06,29.08,19.38,0.3
06-18,23.32,28.42,18.44,8.7
06-19,23.02,27.2,18.98,3.9
06-20,23.6,28.96,19.48,3
06-21,22.62,26.5,19.22,5.2
06-22,22.72,27.48,18.62,14.1
06-23,22.42,26.1,19.8,7.3
06-24,24.5,29.52,21.16,0
06-25,25.42,29.86,21.38,0.8
06-26,25.26,30.72,21.68,7.5
06-27,24.78,29.5,21.7,2.1
06-28,24.3,28.78,20.56,11.5
06-29,24.8,30.02,20.72,4.8
06-30,25.94,30.76,21.18,0.7
07-01,26.2,30.16,23.26,5.5
07-02,25.58,30.04,22.6,5.8
07-03,25.08,29.98,22.1,3.5
07-04,25.24,29.42,22.14,0.8
07-05,25.5,29.78,22.4,2.8
07-06,25.6,29.56,22.86,1.7
07-07,26.8,31.86,23.04,0
07-08,25.84,29.4,23.44,15.1
07-09,26.74,31.52,23.28,0.4
07-10,26.34,31.54,22.84,9.6
07-11,25.28,29.6,22.38,7.5
07-12,24.36,29.1,21.34,6.7
07-13,24.84,28.86,21.74,16.6
07-14,24.34,27.2,22.14,3.7
07-15,24.64,27.8,22.86,13.1
07-16,25.98,30.14,23,13.7
07-17,26.82,31.28,22.86,2.6
07-18,27.82,33.3,23,0
07-19,27.22,32.02,23.58,0
07-20,27.68,33.16,23.76,7.6
07-21,27.52,32.62,23.18,0
07-22,27.66,32.34,23.8,0.7
07-23,27.6,32.92,23.7,0
07-24,28.06,33.38,23.46,0
07-25,28.42,33.82,23.32,0.1
07-26,28.18,33.04,23.92,16.2
07-27,28.26,33.5,24.24,1.9
07-28,28.1,33.3,24.06,16.5
07-29,28.12,33.9,24.3,0.5
07-30,27.66,32.88,23.88,0
07-31,27.6,32.7,23.88,1
08-01,27.2,31.92,23.5,4.5
08-02,28.38,34.08,24.26,10.4
08-03,28.74,33.86,24.78,0
08-04,27.72,32.94,24.5,0
08-05,27.98,32.96,24.04,0.1
08-06,27.48,31.88,24,0
08-07,27.3,31.48,24.44,1.6
08-08,27.58,31.94,24.22,24.6
08-09,28.26,33,24.64,1.2
08-10,28.88,33.52,25.22,0.3
08-11,28.62,33.38,25.26,0.3
08-12,27.84,32.6,24.62,0.7
08-13,26.26,30.62,23.54,15.4
08-14,26.3,30.72,23.6,18.4
08-15,25.86,30.08,22.94,25.5
08-16,26.76,30.8,24.1,3.3
08-17,27.24,31.8,24.04,13.1
08-18,27.5,32.2,24.62,1
08-19,27.94,33.24,23.48,11.5
08-20,27.76,33.38,23.46,1.8
08-21,27.2,31.48,24.48,0.1
08-22,26.78,30.44,24,0.7
08-23,28.16,32.54,25.1,0.9
08-24,27.94,32.46,24.7,0.1
08-25,27.44,31.66,24.46,0.1
08-26,27.82,31.9,24.16,0
08-27,27.62,32.46,24.32,10.6
08-28,26.74,31.24,23.28,6.5
08-29,26.34,30.46,22.72,3
