Date,Temp,Temp_max,Temp_min,precip
04-01,10.42,15.22,6.3,9.9
04-02,11.14,16.08,6.58,6.4
04-03,10.94,14.62,6.78,4
04-04,12.6,17.98,7.6,8.6
04-05,11.72,17.18,6.14,2.4
04-06,13.2,17.26,9.22,0.5
04-07,14.06,19.18,9.84,1.8
04-08,13.96,20.1,8.22,1.3
04-09,12.74,19.86,6.4,6.4
04-10,12.78,19.36,5.8,1.7
04-11,14.36,20.6,7.2,0.3
04-12,15.22,20.72,9.88,0.1
04-13,15.16,20.48,9.3,0.9
04-14,15,20.6,9.56,5.6
04-15,13.14,17.68,8.78,8.4
04-16,13.8,20.18,8.24,0.7
04-17,14.96,20.56,8.56,3.6
04-18,15,20.04,9.98,9
04-19,16.52,23.62,10.24,0
04-20,16.72,22.76,10.6,0.2
04-21,17.12,23.42,11.52,0.9
04-22,16.06,22.44,9.58,3.5
04-23,15.54,20.64,11.7,2.9
04-24,14.92,18.8,11.6,3
04-25,16.52,23.06,11,0.1
04-26,15.84,20.88,11.04,2
04-27,16.78,22.32,10.26,0.3
04-28,17.2,22.66,11.5,2.9
04-29,16.9,21.48,12.4,13.3
04-30,17.02,22.26,12.6,0.9
05-01,15.72,20.96,10.48,8.3
05-02,14.44,19.66,10.42,20.9
05-03,15.9,22.5,9.58,0
05-04,17.62,24.4,10.88,0
05-05,18.7,24.9,11.48,0.8
05-06,18.5,22.08,15.64,5.6
05-07,17.34,21.4,14.12,13.3
05-08,16.46,21.26,12.3,13.3
05-09,15.44,19.86,10.9,2.7
05-10,17.16,22.84,10.9,1.8
05-11,17.78,22.66,12.58,0.4
05-12,17.14,21.1,12.72,1.8
05-13,17.98,21.14,14.58,16.5
05-14,18.86,23.76,14.62,1.9
05-15,18.48,23.1,14.22,3.1
05-16,18.28,22.58,14.68,4
05-17,20.22,24.62,15.56,4.8
05-18,20.98,26.66,15.48,0.5
05-19,18.84,22.78,14.96,4.3
05-20,19.4,24.08,14.84,4.2
05-21,21.26,26.06,16.68,1.6
05-22,19.48,24.48,15.22,3.7
05-23,17.52,21.82,14.3,5.4
05-24,19.36,25.3,13.96,1
05-25,19.1,24.16,15,3.6
05-26,19.36,23.94,14.3,0
05-27,19.08,22.4,15.98,9.2
05-28,20.82,25.4,16.62,2.5
05-29,20.82,25.08,16.88,4.3
05-30,19.38,23.3,16.22,4.8
05-31,17.78,20.44,14.9,14
06-01,19.22,24.52,14.84,1.7
06-02,20.28,24.94,16.3,39.3
06-03,19.54,23.92,16.7,35.5
06-04,20.14,25.42,15.68,1.6
06-05,20.92,26.36,16.56,0
06-06,20.12,24.18,16.18,5.5
06-07,21,25.92,17.42,1.2
06-08,20.94,26.44,16.56,0.9
06-09,20.82,25.16,17.38,6.8
06-10,20.9,24.76,17.64,3.1
06-11,21.62,25.78,18.74,7.9
06-12,21.52,25.9,17.92,2.7
06-13,21.58,25.82,17.8,0.1
06-14,21.46,25.38,18.44,2.3
06-15,22.04,26,18.62,4
06-16,23.16,28.18,19.98,1.5
06-17,24.1,29.52,19.1,0.9
06-18,22.96,28.14,18.66,15.1
06-19,23.08,27.74,19.16,3.3
