Date,Temp,Temp_max,Temp_min,precip
04-01,10.54,15.48,6.18,9.2
04-02,11.06,16.1,5.66,6.7
04-03,10.98,14.98,6.54,4.5
04-04,12.64,18.42,7.3,10.5
04-05,11.74,17.18,5.88,2
04-06,13.58,18.12,9.2,0.1
04-07,14.4,19.54,9.94,0.4
04-08,13.86,20.66,7.62,0.9
04-09,12.86,20.02,5.86,5.7
04-10,12.86,19.84,5.4,1.1
04-11,14.2,20.8,6.96,0.3
04-12,15.42,21.48,9.46,0
04-13,15.2,21.4,8.86,1.5
04-14,15.08,20.76,9.36,12.4
04-15,13.12,18.1,8.86,10
04-16,14.08,20.84,8.5,0.7
04-17,15,20.9,8.72,2.6
04-18,14.7,20.46,9.58,12.5
04-19,16.4,24.1,9.44,0
04-20,16.6,23.38,10.18,0.7
04-21,17.08,23.54,10.72,1.1
04-22,16.22,23.04,9.76,3.7
04-23,15.54,20.48,11.2,3
04-24,14.86,19.28,10.98,2.8
04-25,16.2,22.94,10.76,0.2
04-26,15.74,20.46,10.34,3.5
04-27,16.82,22.94,9.9,0.1
04-28,17.2,23.22,10.86,3.5
04-29,16.92,21.6,12.22,12.9
04-30,16.86,22.28,11.78,2.3
05-01,15.62,21.08,10.46,8.5
05-02,14.26,19.16,9.42,14
05-03,15.86,23.34,8.3,0
05-04,17.42,25.02,9.62,1
05-05,18.48,25,10.7,1.2
05-06,18.62,22.9,15.32,6
05-07,17.04,21.68,13.42,10.4
05-08,16.02,21.34,10.66,7.1
05-09,14.92,20.44,9.78,2.7
05-10,16.56,22.96,9.42,1.7
05-11,17.24,22.5,11.24,0.1
05-12,16.98,20.94,12.06,2
05-13,17.52,21.1,13.86,17.7
05-14,18.74,24.06,13.9,1.7
05-15,18.06,22.52,13.54,4.4
05-16,18.14,22.94,14.4,3
05-17,19.82,24.88,14.54,7.8
05-18,20.72,26.78,14.38,0.4
05-19,18.66,22.92,14.44,7
05-20,19.34,24.66,14.72,6.7
05-21,21.04,26.02,15.92,1.1
05-22,19.28,24.32,14.9,4.2
05-23,17.22,21.56,13.66,8.3
05-24,19.3,25.28,13.3,1
05-25,18.82,24.5,14.06,2.6
05-26,19.24,24.44,13.46,0
05-27,19.06,22.76,15.32,12.5
05-28,20.5,25.6,14.96,2.2
05-29,20.46,25.64,15.46,2.2
05-30,19.46,23.14,16.02,5.4
05-31,17.52,20.54,14.44,14.4
06-01,18.94,24.46,14.3,1
06-02,19.98,24.98,15.56,38.7
06-03,19.16,23.94,15.22,32.7
06-04,19.78,25.34,14.28,2.9
06-05,20.7,26.14,15.96,0
06-06,19.98,24.28,15.56,4.2
06-07,20.76,26.04,16.66,1
06-08,20.94,26.52,15.86,0.7
06-09,20.86,25.22,16.68,7.5
06-10,20.84,24.76,17.08,4.2
06-11,21.5,25.18,18.5,9.5
06-12,21.54,26.28,17.3,2.5
06-13,21.48,25.84,17.36,0.1
06-14,21.48,25.9,18.14,4.5
06-15,21.62,25.78,18.08,18.7
06-16,22.94,27.78,19.38,1.6
06-17,24,29.4,18.54,0.6
06-18,23.02,28.18,17.86,12.2
06-19,23,27.58,18.7,3.7
06-20,23.34,28.92,19.08,3.1
06-21,22.54,26.82,18.56,6.5
06-22,22.62,27.04,18.48,2
06-23,22.62,25.86,20.24,6.1
06-24,24.98,29.62,21.24,0.3
06-25,25.62,29.88,22.34,4.9
06-26,25.74,30.92,21.66,1
06-27,25.2,30.08,21.04,0
06-28,24.84,29.86,20.36,8.2
06-29,25.18,31.16,20.56,4.7
06-30,25.8,30.46,20.84,0.6
07-01,25.8,30.22,22.2,8.75
07-02,26.08,30.86,22.36,15.875
07-03,25.7,31.22,22.18,10.6
07-04,25.16,29.3,21.78,1.9
07-05,25.6,29.72,22.04,0.8
07-06,26.04,30.98,22.88,3.1
07-07,26.84,32.04,22.56,0
07-08,26.52,30.92,22.64,1.5
07-09,26.76,31.86,22.62,0.5
07-10,27.1,32.82,22.94,2.9
07-11,25.64,30.24,22.14,1.1
07-12,24.2,29.12,21.22,10.2
07-13,24.78,28.92,21.82,7.5
07-14,24.48,27.66,22.18,5
07-15,24.94,27.76,22.86,16.3
07-16,25.94,29.78,22.9,5.1
07-17,26.82,31.84,22.7,2.9
07-18,27.58,33.3,22.16,0
07-19,27.66,32.48,23.24,0
07-20,27.92,33.4,23.64,0.1
07-21,27.7,33.1,23.28,0.2
07-22,27.9,33.46,23.58,0.4
07-23,28.02,34.16,22.94,0.1
07-24,28.08,34.4,22.98,0
07-25,28.74,34.82,23.88,0
07-26,28.02,33.08,23.38,10.6
07-27,28.14,33.52,24.3,7.8
07-28,28.82,34.6,23.68,0.6
07-29,28.86,34.84,23.82,0
07-30,27.86,32.94,23.78,0.4
07-31,27.9,33.24,23.5,2.1
08-01,27.3,32.48,23.38,2.8
08-02,28.8,34.2,23.94,1.8
08-03,29.4,34.64,24.96,0
08-04,27.98,33.88,23.48,0.6
08-05,28.02,33.04,23.34,0
08-06,27.58,32.64,23.68,9.3
08-07,27.5,32.2,24.38,4.3
08-08,27.74,32.24,24.08,10.7
08-09,28.18,32.58,24.58,1.7
08-10,28.68,33.32,24.5,2.1
08-11,28.46,33.44,24.26,0.6
08-12,27.84,32.26,24.56,0.8
08-13,26.32,30.52,23.72,12.6
08-14,26.36,31.52,23.62,12.7
08-15,26.54,31.2,22.98,12.7
08-16,26.62,30.12,23.8,9.3
08-17,27.54,32.34,23.76,1.8
08-18,27.66,32.52,24.06,1.3
08-19,27.88,33.5,23.14,6.2
08-20,27.78,33.62,23.18,0.9
08-21,27.74,32.44,24.28,2.6
08-22,27.24,31.38,24.22,1.5
08-23,27.98,32.66,24.74,6.3
08-24,27.88,32.9,23.78,1.6
08-25,27.44,32.28,23.88,0.1
08-26,28,32.96,24.06,0
08-27,27.98,33.18,24.24,4.6
08-28,26.76,31.58,23.16,5.8
08-29,26.68,31.64,22.72,4.8
08-30,26.86,31.74,22.64,19.9
08-31,27.36,32.22,23.56,10.7
09-01,26.46,31.16,22.56,9
09-02,25.88,29.56,22.46,3
09-03,24.66,28.96,21.88,3
09-04,24.34,27.82,22.22,7.5
09-05,24.76,28.86,21.66,11.6
09-06,24.96,30.06,20.66,1
09-07,25.14,29.84,20.86,3.1
09-08,23.98,28.18,20.42,30.9
09-09,24.92,29.24,22.36,3.1
09-10,25.72,30.44,22.06,0
09-11,25.82,30.22,22.14,1.1
09-12,25.7,30.08,22.1,3.3
09-13,25.72,30.8,21.7,0.5
09-14,26.04,30.58,22.38,0
09-15,25.42,29.6,22.2,0.2
09-16,24.9,29.82,20.52,0
09-17,26.16,31.44,20.96,0
09-18,26.42,31.56,23.04,20.9
09-19,25.16,30,21.2,5.4
09-20,23.92,29.42,19.2,5.7
09-21,22.62,27.66,18.06,0.6
09-22,22.18,26.78,18.12,5
09-23,21.92,26.2,17.72,4.8
09-24,21.64,26.76,17.1,16.7
09-25,21.06,25.76,16.32,0.6
09-26,22.1,27.26,17.54,0
09-27,22.2,26.7,18.62,0.3
09-28,22.74,27.72,18.78,0
09-29,23.1,27.68,19.08,0
09-30,22.64,27.28,18.62,0.3
10-01,21.22,24.92,17.66,18.6
10-02,21.94,28.34,16.46,1.9
10-03,21,25.96,16.38,1.7
10-04,22.26,26.98,18.46,2.3
10-05,20.78,25.08,17.08,1.6
10-06,19.18,22.96,15.64,1.9
10-07,18.7,22.84,15.02,9.5
10-08,18.78,24.52,14.34,4.5
10-09,17.88,20.74,15.06,17.5
10-10,18.34,23.62,14.68,4
10-11,18.48,23.88,14.22,1.6
10-12,18.02,22.38,14,0.2
10-13,17.3,21.46,14.2,5.4
10-14,17.68,23.08,13.04,2.2
10-15,17.92,22.42,13.76,8.1
10-16,18.62,22.74,14.34,2.3
10-17,18.28,23.12,14.1,8
10-18,16.76,21.64,11.7,3.2
10-19,17.08,22.72,13,1.2
10-20,15.62,21.4,10.34,0.6
10-21,14.48,19.42,8.52,0
10-22,13.72,18.16,9.86,3.3
10-23,15.08,21.32,9.76,0.3
10-24,14.56,20.16,10.26,1
10-25,14.62,17.94,10.5,2.7
10-26,15.2,19.64,10.58,7.9
10-27,14.92,20.82,9.62,0.5
10-28,14.66,20.16,9.66,1.7
10-29,12.8,18.08,8.42,7.3
10-30,13.1,20.1,6.46,5.2
10-31,13.44,18.9,7.92,13.5
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
