Date,Temp,Temp_max,Temp_min,precip
04-01,10.54,14.74,5.9,6.2
04-02,11,16,5.9,3.4
04-03,10.9,14.64,6.82,4.4
04-04,12.46,18.08,7.52,8.7
04-05,11.84,17.4,5.94,1.5
04-06,13.74,18,9.52,0.2
04-07,14.52,19.46,9.68,0.3
04-08,13.68,20.14,7.82,3.7
04-09,12.96,19.64,6.36,5.6
04-10,12.8,19.7,6.32,0.2
04-11,14.12,21.2,6.92,0.1
04-12,15.46,22.12,9.18,0.2
04-13,15.24,21.02,9.34,1.5
04-14,15.2,20.9,9.22,2.8
04-15,13.26,18.06,8.82,9.7
04-16,14.08,20.6,8.3,1.9
04-17,14.82,20.56,8.6,3.4
04-18,14.5,19.8,9.54,7.9
04-19,16.14,23.66,9.3,0.1
04-20,16.48,23.54,10.24,0.3
04-21,17.14,23.98,10.86,0.6
04-22,16.3,23.04,10.08,5.4
04-23,15.66,20.56,11.04,2
04-24,15.1,19.28,11.4,2
04-25,16.18,22.32,10.54,0.7
04-26,15.96,20.34,11.26,3.8
04-27,17.32,23.22,11,0.2
04-28,17.26,23.04,11.62,1.6
04-29,16.82,21.18,12.74,11.5
04-30,17.04,22.2,12.5,1.1
05-01,15.68,20.84,11.1,9.2
05-02,14.76,19.4,10.34,11.1
05-03,16.2,22.76,9.68,0
05-04,17.88,25,10.92,0.7
05-05,18.76,24.96,11.8,0.5
05-06,19.12,23.16,15.96,4
05-07,17.46,21.56,13.62,7.3
05-08,16.38,21.86,11.6,4.3
05-09,15.64,20.48,11.38,2.8
05-10,16.92,22.94,10.56,1.6
05-11,17.78,22.56,12.82,0
05-12,17.36,21.28,13,2.1
05-13,17.72,20.82,14.46,14.1
05-14,19.06,24.06,14.52,2.8
05-15,18.5,22.5,14.58,0.9
05-16,18.4,22.9,15.02,3.2
05-17,19.96,25.04,15.18,5.5
05-18,20.86,26.68,14.88,0.5
05-19,19.06,22.96,15.46,3.3
05-20,19.92,24.68,15.64,6.5
05-21,20.98,25.9,16.62,1.3
05-22,19.84,24.92,15.7,3.6
05-23,17.74,21.84,14.82,9.2
05-24,19.68,25.12,14.62,2.2
05-25,19.3,24.28,15.18,2.1
05-26,19.68,24.08,15.18,0
05-27,19.46,23.06,16.12,10.3
05-28,20.6,25.42,16.36,2.3
05-29,21.24,26.24,16.88,1.4
05-30,19.96,23.68,17.04,4.3
05-31,18.36,20.94,15.7,10.3
06-01,19.48,24.54,15.48,2.2
06-02,20.04,24.44,16.26,25.5
06-03,19.8,24.04,16.56,14.8
06-04,20.4,25.36,15.76,2.7
06-05,21.28,26.62,17.1,0
06-06,20.18,24.08,16.8,4.9
06-07,21.32,26.38,17.68,0.8
06-08,21.42,26.26,17.4,2.5
06-09,21.04,25.14,17.56,7.1
06-10,21.14,24.96,17.64,3.8
06-11,21.74,24.94,19.4,6.9
06-12,21.94,26.16,18.7,3.5
06-13,21.98,25.92,18.62,0.1
06-14,21.66,25.02,19,4.5
06-15,21.84,25.94,18.68,16.6
06-16,23.28,27.5,19.92,2.4
06-17,24.22,29.68,19.58,0.3
06-18,23.44,28.18,19.26,8.6
06-19,23.18,27.66,19.38,4.1
06-20,23.78,28.84,20.1,2.5
