Date,Temp,Temp_max,Temp_min,precip
04-01,9.0,13.6,4.3,2.1
04-02,9.4,13.7,3.9,3.9
04-03,10.2,14.4,5.0,4.0
04-04,11.5,16.6,6.4,9.3
04-05,10.7,15.2,5.5,2.2
04-06,12.6,16.8,8.4,1.4
04-07,12.9,17.4,8.5,2.2
04-08,11.8,17.2,6.1,7.0
04-09,10.9,16.7,4.5,10.4
04-10,10.6,16.5,3.2,3.0
04-11,12.4,17.9,5.1,0.2
04-12,13.4,19.2,7.0,5.4
04-13,13.3,17.8,7.6,1.0
04-14,13.3,17.7,8.9,15.5
04-15,11.3,15.7,7.4,6.9
04-16,12.3,18.2,5.3,1.0
04-17,12.8,17.9,6.5,1.9
04-18,13.4,18.2,7.1,15.7
04-19,14.3,19.9,9.3,0.0
04-20,14.8,20.1,8.7,0.5
04-21,14.7,19.7,8.2,0.5
04-22,14.5,20.3,8.9,3.3
04-23,14.0,17.8,9.9,2.3
04-24,13.6,17.6,9.5,2.0
04-25,14.5,19.9,9.1,2.8
04-26,14.3,18.9,8.6,7.9
04-27,15.3,20.4,9.4,0.1
04-28,14.7,20.1,8.6,1.3
04-29,15.1,18.9,10.5,20.9
04-30,14.8,18.9,10.4,9.6
05-01,14.2,19.0,8.6,5.8
05-02,13.6,18.2,9.4,15.4
05-03,13.8,20.3,7.0,0.1
05-04,15.5,21.2,8.0,0.1
05-05,16.7,22.2,9.2,0.0
05-06,17.6,22.0,13.9,5.1
05-07,15.7,20.2,11.6,13.5
05-08,14.6,19.4,10.0,5.9
05-09,13.8,18.3,9.3,2.6
05-10,15.4,20.6,8.6,3.5
05-11,15.8,20.6,9.2,0.2
05-12,15.5,19.3,10.9,1.9
05-13,16.2,19.3,12.4,24.2
05-14,17.2,21.7,12.6,1.0
05-15,16.9,20.8,12.6,0.8
05-16,17.1,20.2,14.1,3.9
05-17,17.8,21.7,13.7,10.0
05-18,18.8,24.0,13.3,0.7
05-19,17.5,22.2,13.9,4.8
05-20,18.1,22.4,14.3,4.7
05-21,18.9,22.2,15.7,5.7
05-22,17.1,20.5,14.2,7.9
05-23,16.1,19.3,13.6,4.8
05-24,17.7,22.0,12.5,2.2
05-25,17.5,21.8,12.6,8.2
05-26,17.7,21.8,12.4,0.0
05-27,17.9,21.9,15.0,7.2
05-28,18.1,23.0,14.1,3.8
05-29,18.3,21.8,14.2,2.8
05-30,17.9,21.2,14.2,1.9
05-31,16.8,19.7,13.3,7.3
06-01,17.4,21.2,12.9,0.3
06-02,18.4,22.2,14.1,24.0
06-03,18.3,22.0,14.5,7.7
06-04,18.5,23.2,14.3,11.8
06-05,18.4,22.0,14.3,0.0
06-06,18.4,22.0,14.4,9.6
06-07,19.2,23.2,16.1,3.0
06-08,19.4,23.5,15.6,0.1
06-09,19.2,23.3,15.8,11.6
06-10,19.5,23.1,16.8,2.9
06-11,20.1,22.8,17.3,6.4
06-12,19.9,23.5,16.4,1.1
06-13,19.8,23.8,16.2,0.8
06-14,19.8,22.4,17.6,8.5
06-15,20.2,23.5,17.5,6.0
06-16,21.6,26.2,17.9,4.4
06-17,22.4,26.6,17.9,0.0
06-18,21.5,25.9,17.3,4.7
06-19,21.1,24.5,17.0,2.6
06-20,21.6,26.0,16.9,1.7
06-21,20.9,24.9,17.3,2.8
06-22,21.1,25.0,17.3,7.5
06-23,21.1,24.5,18.7,6.9
06-24,22.5,26.9,19.8,3.4
06-25,23.5,27.3,20.4,1.9
06-26,23.3,27.4,20.4,3.1
06-27,23.0,27.0,19.3,0.4
06-28,22.9,26.9,19.3,2.9
06-29,23.1,27.6,19.5,8.5
06-30,23.7,27.9,19.5,0.0
07-01,24.2,28.5,21.5,4.0
07-02,23.9,27.4,20.6,1.9
07-03,23.5,26.8,20.7,0.3
07-04,23.4,26.9,20.8,3.0
07-05,24.1,28.0,21.1,6.8
07-06,24.4,28.2,21.5,3.1
07-07,24.4,28.1,21.3,1.0
07-08,24.3,27.6,22.1,0.9
07-09,24.6,28.5,22.0,1.3
07-10,24.1,27.5,21.5,15.5
07-11,23.3,26.6,21.1,4.0
07-12,23.0,26.3,20.8,2.9
07-13,23.6,27.8,20.1,2.2
07-14,23.1,26.2,20.9,4.9
07-15,23.2,25.7,21.7,10.8
07-16,24.1,27.4,21.3,3.0
07-17,24.6,28.2,21.2,2.2
07-18,25.4,30.4,21.3,0.0
07-19,24.7,28.7,21.4,6.7
07-20,25.3,30.3,21.1,0.0
07-21,24.8,29.0,20.9,0.6
07-22,25.3,28.8,21.6,0.3
07-23,25.4,29.8,21.6,0.2
07-24,25.6,30.2,21.6,0.0
07-25,25.6,30.9,21.3,2.3
07-26,25.8,30.5,22.1,7.9
07-27,25.8,30.1,22.9,2.5
07-28,26.1,30.9,23.0,4.6
07-29,25.8,29.8,22.4,0.2
07-30,25.9,30.1,22.2,0.0
07-31,25.8,30.3,21.9,5.9
08-01,25.6,29.5,22.3,4.7
08-02,26.7,31.4,22.6,8.1
08-03,26.7,30.6,23.2,0.0
08-04,25.8,29.8,22.7,0.9
08-05,25.9,29.6,22.7,0.0
08-06,25.9,29.3,22.8,0.0
08-07,25.7,29.7,22.8,2.1
08-08,26.5,30.3,23.1,8.1
08-09,26.6,30.4,23.2,1.5
08-10,27.0,30.8,23.6,2.1
08-11,26.6,30.6,23.5,3.4
08-12,25.5,30.2,22.8,4.4
08-13,25.0,28.3,22.3,15.8
08-14,25.2,28.8,22.6,18.8
08-15,24.9,28.2,21.9,13.6
08-16,25.6,29.5,23.1,1.8
08-17,25.6,29.6,23.0,7.4
08-18,25.7,30.0,22.6,0.8
08-19,25.9,30.3,21.5,0.4
08-20,25.4,29.8,22.0,1.6
08-21,25.8,29.6,22.4,0.0
08-22,25.6,28.9,22.7,1.8
08-23,26.3,30.0,23.7,2.0
08-24,26.3,30.2,23.2,0.1
08-25,26.2,30.1,23.2,0.0
08-26,26.1,30.1,22.5,2.0
08-27,26.1,30.4,23.8,4.7
08-28,25.3,29.6,21.9,8.0
08-29,24.7,28.5,20.7,6.4
08-30,25.1,29.0,21.4,18.4
08-31,25.4,29.0,22.6,0.7
09-01,24.9,28.7,22.4,4.1
09-02,24.4,27.6,21.4,9.7
09-03,24.0,27.9,21.2,2.0
09-04,23.4,26.1,21.4,35.3
09-05,24.1,27.6,21.5,6.7
09-06,23.5,27.3,20.1,4.5
09-07,23.9,27.8,20.1,7.4
09-08,23.3,26.9,20.3,44.7
09-09,24.3,27.9,22.2,5.0
09-10,24.5,28.2,21.4,0.0
09-11,24.5,28.2,21.5,0.1
09-12,24.4,28.2,21.0,0.0
09-13,24.1,28.7,20.7,3.9
09-14,24.2,28.3,20.9,0.1
09-15,23.6,27.4,21.0,19.1
09-16,23.1,27.0,19.1,0.0
09-17,24.2,28.6,19.9,4.5
09-18,25.0,29.3,21.6,20.4
09-19,23.5,27.4,20.2,20.2
09-20,22.7,27.5,18.5,10.8
09-21,21.5,25.8,17.4,0.7
09-22,21.0,25.4,17.0,3.5
09-23,20.7,24.7,17.9,7.6
09-24,20.7,25.1,17.4,11.4
09-25,20.4,24.7,15.8,2.8
09-26,21.2,25.4,17.8,0.0
09-27,20.9,24.6,17.7,0.1
09-28,21.5,25.7,17.7,0.1
09-29,21.6,26.5,17.5,0.0
09-30,21.1,26.1,15.8,0.3
10-01,20.4,24.2,16.5,17.9
10-02,20.6,27.3,14.5,0.0
10-03,19.4,24.9,14.2,1.3
10-04,21.6,27.4,16.5,1.0
10-05,20.1,24.2,16.1,1.2
10-06,18.4,22.4,14.9,2.1
10-07,18.3,21.9,14.6,10.5
10-08,18.6,23.1,14.3,4.8
10-09,17.7,20.1,15.3,13.8
10-10,18.8,22.6,15.3,2.9
10-11,18.0,22.5,13.6,5.1
10-12,17.0,21.1,13.3,0.7
10-13,17.1,21.0,13.0,1.7
10-14,17.1,21.7,12.9,0.5
10-15,17.4,22.1,12.2,6.0
10-16,18.3,22.3,13.5,3.3
10-17,17.7,22.5,12.3,2.8
10-18,16.5,20.4,11.3,9.4
10-19,17.3,22.7,12.7,0.7
10-20,15.4,21.3,9.7,2.3
10-21,14.0,19.3,7.9,0.9
10-22,14.0,18.3,9.7,1.5
10-23,15.3,21.1,8.7,2.0
10-24,14.7,19.9,9.8,2.3
10-25,14.7,18.6,10.1,2.5
10-26,15.1,19.6,10.1,12.1
10-27,14.8,20.5,8.8,1.4
10-28,14.5,20.4,9.5,1.8
10-29,14.3,18.9,8.5,0.6
10-30,13.7,19.8,7.9,5.4
10-31,14.1,19.8,7.7,11.9
