Date,Temp,Temp_max,Temp_min,precip
04-01,10.72,15.12,6.96,8.4
04-02,11.46,15.88,6.88,9
04-03,11.24,14.76,7.66,4.4
04-04,12.9,18.24,8.38,8.8
04-05,11.94,17,6.44,2.5
04-06,13.8,18.02,9.8,0.4
04-07,14.52,19.26,10.5,0.7
04-08,14.02,20.36,8.8,1
04-09,13.14,19.76,7.16,5.5
04-10,13.3,19.76,6.62,2.8
04-11,14.72,20.92,8.44,0.1
04-12,15.68,21.08,10.42,0
04-13,15.54,21.02,10.32,1.5
04-14,15.28,20.68,10.18,11.4
04-15,13.38,18.02,9.2,7.9
04-16,14.38,20.5,9.66,1.6
04-17,15.36,20.7,10.02,2.2
04-18,15.22,20.58,10.82,10.1
04-19,16.7,23.86,10.62,0
04-20,17.2,23.14,11.72,0.3
04-21,17.36,23.52,12.34,1.2
04-22,16.54,22.94,11.04,3.3
04-23,15.72,20.22,11.76,2.5
04-24,15.16,19.06,11.96,2.3
04-25,16.34,22.8,11.38,0.2
04-26,16.06,20.7,11.52,3.2
04-27,17.38,23.26,11.14,0.1
04-28,17.6,23.1,12.22,3.1
04-29,17.22,21.94,13.1,11.2
04-30,17.06,22.4,12.62,1.1
05-01,15.76,21.12,11,7.6
05-02,14.62,19.34,10.5,12.8
05-03,16.48,23.68,9.68,0
05-04,18.2,25.18,10.94,0.4
05-05,19.1,25.52,12.08,0.8
05-06,19,23.04,16.26,5.2
05-07,17.2,21.74,14.06,8.5
05-08,16.46,21.26,12.14,5.9
05-09,15.54,20.82,11.3,2.3
05-10,17.22,23.32,10.38,1.6
05-11,17.9,23.18,12.56,0.1
05-12,17.18,21.34,13.08,1.8
05-13,17.72,21.32,14.14,16.9
05-14,19.06,24.48,14.76,2
05-15,18.56,22.84,14.52,1.4
05-16,18.56,23.28,14.82,2.7
05-17,20.5,25.4,15.3,7
05-18,21.38,27.18,15.56,0.3
05-19,19.08,23.36,15.3,5.8
05-20,19.86,25.1,15.58,5.6
05-21,21.6,26.62,16.84,0.9
05-22,19.46,24.32,15.44,3.3
05-23,17.6,21.92,14.46,7.7
05-24,19.78,25.66,14.44,1
05-25,19.42,24.54,15.4,2.2
05-26,19.76,24.54,15.14,0
05-27,19.34,22.84,16.16,10.7
05-28,20.8,26.1,16.38,3.2
05-29,21.08,26.22,16.88,2
05-30,19.74,23.5,16.68,4.6
05-31,17.92,21.02,15.18,11.9
06-01,19.4,24.54,15.32,0.4
06-02,20.34,25.24,16.38,41.1
06-03,19.68,23.96,16.42,30
06-04,20.28,25.6,15.48,2.8
06-05,21.38,26.88,16.92,0
06-06,20.4,24.66,16.64,3.8
06-07,21.48,26.26,17.84,1.4
06-08,21.42,26.62,17.4,1.4
06-09,21.16,25.66,17.52,8.5
06-10,21.26,25.52,17.56,3.6
06-11,21.92,25.52,19.4,8.7
06-12,21.92,26.44,18.32,1.2
06-13,21.9,25.86,18.56,0.4
06-14,21.84,25.6,19.04,6.6
06-15,22.14,25.98,18.8,5.2
06-16,23.42,28.44,19.86,2.3
06-17,24.46,29.62,19.84,1.1
06-18,23.74,28.82,19.32,10.6
06-19,23.34,27.9,19.34,4.4
06-20,24,29.44,20.16,3
06-21,22.96,27.1,19.6,5.9
06-22,23,27.58,18.98,1.5
06-23,22.92,26.3,20.6,6.3
06-24,25.2,30.08,21.68,0
06-25,26.06,30.32,22.82,4.1
06-26,26,31.22,22.48,1.6
06-27,25.54,30.46,22.28,0
06-28,25.22,29.94,21.32,7.9
06-29,25.7,31.72,21.46,3.7
06-30,26.28,30.92,22.12,0.4
07-01,26.22,30.36,22.82,12.3
07-02,26.4,31.2,23,12.2
07-03,25.98,31.14,23.02,6.8
07-04,25.6,29.5,22.74,1.2
07-05,25.96,30.22,22.64,0.8
07-06,26.22,30.92,23.16,1.7
07-07,27.2,32.62,23.3,0
07-08,26.76,30.9,23.86,1.7
07-09,27.14,32.34,23.4,0.4
07-10,27.32,33.34,23.4,1.4
07-11,26.04,30.86,22.72,4.8
07-12,24.7,29.38,21.76,8.9
07-13,25.06,29.26,22.18,6.8
07-14,24.6,27.58,22.46,1.2
07-15,24.92,27.9,23.08,17.9
07-16,26.26,30.06,23.54,7.4
07-17,27.2,32.2,23.38,3.3
07-18,28.26,33.8,23.62,0
07-19,28.02,32.74,24.36,0
07-20,28.28,34,24.4,0.1
07-21,28.02,33.3,24.28,0.2
07-22,28.34,33.78,24.52,0.2
07-23,28.6,34.66,24.06,0
07-24,28.78,35.02,24.38,0
07-25,29.18,35.32,24.26,0
07-26,28.42,33.66,24.32,11.5
07-27,28.66,34,24.9,2.6
07-28,29.42,35.36,24.98,0.5
07-29,29.24,35.04,25.28,0.2
07-30,28.26,33.82,24.84,7.9
07-31,28.32,33.8,24.46,0.1
08-01,27.76,32.28,24.54,2.4
08-02,29.32,34.6,25.2,2.6
08-03,29.52,35.04,25.62,0
08-04,28.2,33.88,24.56,3.3
08-05,28.44,33.44,24.58,0.1
08-06,28.08,33.16,24.6,0.4
08-07,27.92,32.48,25.08,0.5
08-08,28.12,32.86,24.72,12.7
08-09,28.6,32.86,25.36,1
08-10,29.26,34.22,25.84,1.4
08-11,29,33.96,25.24,0.4
08-12,28.26,32.94,25.14,0.2
08-13,26.64,30.68,24.04,8.1
08-14,26.72,31.5,23.96,13.1
08-15,26.76,31.36,23.52,9
08-16,26.98,30.7,24.4,5.5
08-17,27.86,32.76,24.12,4.7
08-18,27.96,33.06,24.7,1
08-19,28.52,34.36,24.38,4.2
08-20,28.36,34.14,24.32,0.7
08-21,28.02,33.02,24.78,0.7
08-22,27.5,31.94,24.62,0.4
08-23,28.28,32.98,25.04,7.7
08-24,28.22,33.4,24.58,1.1
08-25,27.82,32.82,24.66,0.1
08-26,28.24,33.22,24.76,0
08-27,28.3,33.24,24.9,3.7
08-28,27.18,31.88,23.96,4.7
08-29,27.04,32.06,23.68,3.1
08-30,27.34,32.06,23.56,18.7
08-31,27.64,32.6,24.18,7.3
09-01,26.8,31.5,23.36,5
09-02,26.22,30.12,23.44,2.8
09-03,24.92,28.76,22.46,1.7
09-04,24.5,28.06,22.58,7.7
09-05,25.16,29.12,22.48,8.8
09-06,25.26,30.28,21.48,0.6
09-07,25.5,30.08,21.72,2.1
09-08,24.42,28.44,21.52,18.6
09-09,25.22,29.32,22.68,4
09-10,25.96,30.46,22.76,0
09-11,26.08,30.4,22.88,0.5
09-12,26.04,30.28,22.9,2.8
09-13,26.12,31.2,22.34,0.2
09-14,26.26,30.98,23.54,0
09-15,25.64,29.66,22.8,0
09-16,25.14,29.88,21,0
09-17,26.58,31.72,22.02,0
09-18,26.74,32.18,23.52,15.6
09-19,25.5,30.04,21.84,4.7
09-20,24.38,29.56,19.92,4.1
09-21,22.9,27.42,19.14,0.2
09-22,22.68,26.96,18.68,4.3
09-23,22.3,26.18,18.84,1.6
09-24,22.14,26.74,18.62,14.4
09-25,21.82,26.12,17.88,0.4
09-26,22.68,27.44,18.84,0.1
09-27,22.62,26.78,19.94,0.2
09-28,23.2,27.88,20.02,0
09-29,23.7,28.16,20.08,0
09-30,22.94,27.4,19.6,0.6
10-01,21.68,25.12,18.82,16.2
10-02,22.56,28.52,17.52,0.4
10-03,21.58,26.24,17.8,6.3
10-04,22.82,27.34,19.26,2.8
10-05,21.2,25.58,17.66,0.9
10-06,19.52,23.48,16.56,1.9
10-07,19.36,23.2,16.14,8.5
10-08,19.44,24.52,15.14,3.4
10-09,18.22,20.76,15.8,15.3
10-10,19.08,24.1,15.68,3.4
10-11,19.12,24.12,15,2
10-12,18.6,22.3,14.98,0
10-13,17.98,21.52,15.04,4.6
10-14,18.2,23.12,13.62,2.8
10-15,18.68,22.72,14.86,7.3
10-16,19.32,23.56,15.26,1.8
10-17,18.6,23.42,14.88,5.2
10-18,17.3,21.72,12.88,2.7
10-19,17.86,22.9,14.62,0.7
10-20,16.42,21.74,11.94,0.7
10-21,15.26,19.76,10,0
10-22,14.68,18.48,11.04,2.5
10-23,15.98,21.52,11.28,0.1
10-24,15.4,20,11.7,0.7
10-25,15.26,18.34,12.02,1.5
10-26,15.92,20.02,11.82,7
10-27,15.74,21.06,10.76,0.3
10-28,15.66,20.36,11.56,2.8
10-29,13.64,18.34,9.76,5.1
10-30,14.2,20.36,8.28,4.8
10-31,14.5,19.42,9.06,9
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
