Date,Temp,Temp_max,Temp_min,precip
04-01,9.2,15.38,4.14,2.5
04-02,9.46,16.04,3.7,1.9
04-03,9.6,15.04,4.18,4.5
04-04,11.22,18,5.76,4.6
04-05,10.42,16.42,3.84,1.4
04-06,12.14,18.08,6.34,0.3
04-07,13.14,19.52,6.98,1.7
04-08,11.8,18.64,4.94,8.9
04-09,10.74,18.22,3.42,9.6
04-10,10.9,19.66,2.54,1.1
04-11,12.7,20.52,4.68,0.3
04-12,13.5,21.44,6.76,1.8
04-13,13.28,20.22,6.4,0.8
04-14,13.64,20.46,7.14,6.5
04-15,11.6,17.56,6.72,7.7
04-16,12.28,19.96,4.66,0.8
04-17,12.48,19.58,5.62,2.5
04-18,13.48,20.06,7.18,10
04-19,14.66,22.18,7.92,0
04-20,15.08,22.48,8.04,0.8
04-21,15.46,23.76,8.46,1
04-22,15.08,22.68,8.48,3
04-23,13.94,19.72,8.78,1.7
04-24,13.46,19.66,8.78,2.2
04-25,14.82,22.3,8.64,0.6
04-26,14.34,20.06,8.2,6
04-27,15.34,22.5,8.1,0.5
04-28,15.4,22.98,8.52,1.9
04-29,15.14,20.36,9.72,15.4
04-30,14.62,21.16,8.9,4.3
05-01,13.86,20.02,7.76,6.3
05-02,12.62,19.06,6.94,12.9
05-03,13.68,21.9,6.12,0.1
05-04,16.16,24.88,7.18,0
05-05,16.84,25.2,8.22,0.6
05-06,17.02,22.88,11.54,5.3
05-07,15.64,20.44,10.86,10.4
05-08,14.58,21.86,9.1,6.6
05-09,13.58,19.82,8.22,2.6
05-10,15.12,22.74,7.22,2.6
05-11,15.7,22.56,8.52,0
05-12,15.46,20.88,9.42,1.5
05-13,16.16,20.26,12.04,18.3
05-14,17.2,23.76,11.48,5.8
05-15,16.66,21.94,12.24,0.6
05-16,17.08,22.44,12.66,4.4
05-17,18.18,23.56,13.06,7.3
05-18,19.22,26.22,12.82,2
05-19,17.82,23.12,13.76,4.1
05-20,18.7,24.68,13.62,5.5
05-21,19.88,25.24,14.94,3.4
05-22,18.08,23.56,13.8,10.3
05-23,16.08,20.4,12.6,5.9
05-24,17.9,24.56,11.24,2
05-25,17.76,24.48,11.84,5.4
05-26,17.34,23.44,11.14,0
05-27,17.96,22.52,13.52,7.9
05-28,18.78,25.24,13.98,4.4
05-29,19.14,25.82,13.68,2.6
05-30,18.24,23.54,13.7,2.8
05-31,16.86,20.74,13.04,8
06-01,17.54,23.9,12.5,0.3
06-02,18.92,24.04,14.3,24.4
06-03,18.42,23.74,13.94,7.5
06-04,18.86,25.24,13.08,7.9
06-05,19.4,25.92,14.16,0.3
06-06,18.96,24.18,13.98,6.3
06-07,20.08,25.84,15.5,0.9
06-08,19.48,25.36,15.08,0.4
06-09,19.54,25.32,15.12,12.7
06-10,19.88,24.62,16.12,2.5
06-11,20.46,24.84,17.12,8.1
06-12,20.34,25.9,15.22,0.8
06-13,20.3,26.58,15.44,10.8
06-14,20.26,24.78,17.14,10.2
06-15,20.84,25.76,17.22,4.7
06-16,22.12,27.62,17.62,2.7
06-17,22.88,29.68,17.02,0.4
06-18,22.34,28.62,16.48,5.7
06-19,21.84,27.9,17.16,7.2
06-20,22.5,29.18,17.34,0.7
06-21,21.24,26.58,16.88,1.5
06-22,21.76,27.36,17.2,11.2
06-23,21.38,25.84,18.38,10.7
06-24,23.22,29.14,19.62,13
06-25,24.32,29.56,19.94,2.9
06-26,24.2,30.48,20.06,0.5
06-27,23.5,29.68,19.6,3.5
06-28,23.2,29.34,18.72,10.2
06-29,23.8,30.5,19.02,4.4
06-30,24.26,30.2,19.24,0.8
07-01,24.96,29.8,21.3,4
07-02,24.54,30.88,20.38,5.2
07-03,24.36,30.24,20.72,0.9
07-04,24.04,29.48,20.4,2.1
07-05,24.54,29.56,20.7,4.5
07-06,25.44,31.26,21.64,1.5
07-07,26,32.08,21.24,0.7
07-08,25.36,30.2,22.12,5.3
07-09,25.5,30.82,21.8,2.2
07-10,25.62,31.48,22.08,17.3
07-11,24.36,29.22,21.48,13.5
07-12,23.44,28.2,20.46,9.4
07-13,23.9,28.88,20.3,7.3
07-14,23.62,27.04,21.02,3.1
07-15,23.84,26.78,21.76,15.5
07-16,25.12,29.5,21.96,7.7
07-17,25.62,31.14,21.3,2.3
07-18,26.28,33.2,21.1,0
07-19,25.98,31.48,21.54,0.2
07-20,26.6,33.56,21.84,0
07-21,25.74,32.26,21.34,3.2
07-22,26.16,32.94,22.04,7.2
07-23,26.12,33.24,21.64,0.3
