Date,Temp,Temp_max,Temp_min,precip
04-01,10.14,13.46,6.76,5.6
04-02,10.72,13.76,7.34,11.2
04-03,11.14,14.34,7.72,4
04-04,12.16,16.4,8.34,5.8
04-05,11.62,15.9,7.34,2.3
04-06,13.56,17.36,9.68,1.2
04-07,13.44,17,9.82,1.8
04-08,12.74,17.16,7.72,8
04-09,11.94,18.28,5.86,7.9
04-10,12.44,17.02,5.94,0.2
04-11,14.22,18.32,8.66,0
04-12,14.82,18.98,10.46,1.4
04-13,14.12,17.94,10.02,1
04-14,14.08,18.76,9.34,13.1
04-15,12.4,16.68,8.34,8.5
04-16,13.44,18.66,7.9,1.5
04-17,14.1,18.22,9.1,2.2
04-18,14.7,18.6,10.24,12.6
04-19,15.36,20.92,10.38,0
04-20,16.36,20.32,11.12,0.2
04-21,15.98,20.36,11.88,0.9
04-22,15.42,20.74,10.98,3.7
04-23,14.7,17.98,11.46,4.3
04-24,14.02,16.98,11.24,2.7
04-25,15.14,19.92,10.46,1
04-26,15.22,19.2,10.72,8
04-27,16.22,20.82,10.3,0.4
04-28,16.12,20.82,11.52,2.7
04-29,15.86,19.9,12.52,18.3
04-30,15.44,19.52,11.42,6.1
05-01,14.82,19.24,10.2,6.3
05-02,13.92,18.52,9.66,24
05-03,14.94,19.74,9,0.2
05-04,17.74,22.4,11.36,0.3
05-05,18.42,23.36,12.3,0.2
05-06,18.42,22.24,15.4,5.7
05-07,16.44,20.86,12.94,10.6
05-08,15.26,19.96,11.22,7.1
05-09,14.58,18.66,10.58,4.2
05-10,16.46,20.98,10.72,4.1
05-11,16.66,21.36,11.56,0
05-12,16.38,19.68,12.86,1.8
05-13,16.8,19.94,13.42,19.3
05-14,18,22.18,14.1,2.8
05-15,17.46,20.6,14.56,0.8
05-16,17.7,21.34,14.94,4.3
05-17,19.24,23.94,14.9,11.7
05-18,19.78,24.84,14.94,0.8
05-19,18.58,22.84,14.8,9.8
05-20,18.78,23.22,15.06,6.4
05-21,19.68,23.44,16.28,3.7
05-22,17.66,21.4,14.78,6.3
05-23,16.3,19.44,14.22,5
05-24,18.52,22.84,13.6,1.6
05-25,18.06,21.42,13.94,4.5
05-26,18.2,21.5,14,0
05-27,18.76,21.68,15.86,8.5
05-28,18.96,23.64,15,3.9
05-29,19.22,23.78,14.88,2.9
05-30,18.28,21.46,15.3,3.5
05-31,17.04,20.2,13.74,7.3
06-01,17.62,21.12,13.82,0.1
06-02,19.04,22.24,15.44,28.7
06-03,18.76,22.02,16.34,12
06-04,19.24,23.56,15.2,7.3
06-05,19.32,23.22,15.7,0.4
06-06,19.26,23.48,15.4,5.6
06-07,20.16,23.9,16.8,1
06-08,20.3,24.12,16.86,0
06-09,19.68,23.32,17,17
06-10,19.82,23.02,16.98,2.7
06-11,20.62,22.88,18.52,9
06-12,20.42,23.7,17.52,0.6
06-13,20.46,23.78,17.38,2.6
06-14,20.34,22.7,18.3,6.8
06-15,20.84,24.1,18.22,6.9
06-16,22.56,26.74,18.94,3.4
06-17,23.4,27,19.5,0.3
06-18,22.52,26.76,18.62,8.1
06-19,21.94,25.1,18.84,4.1
06-20,22.6,26.5,19.64,4.3
06-21,21.64,25,18.74,3.7
06-22,22.38,26.64,19.08,12.2
06-23,21.9,25.1,19.46,5.3
06-24,23.56,27.42,20.3,0.1
06-25,24.58,28.34,21.72,0.8
06-26,24.12,27.68,21.58,2.1
06-27,23.9,27.2,21.42,0.5
06-28,23.82,27.16,20.62,10.5
06-29,23.76,27.7,20.92,7.3
06-30,25.04,29.06,21.28,0.8
07-01,25.4,28.84,22.56,6.1
07-02,24.6,27.82,22.1,6.1
07-03,24.32,27.48,21.84,0.8
07-04,24.14,26.74,22.28,1.5
07-05,24.94,28.58,22.1,4.3
07-06,24.82,28.22,22.32,4.5
07-07,25.56,29.24,22.56,0.5
07-08,24.98,27.74,23.04,4.3
07-09,25.66,28.94,22.92,1.1
07-10,24.88,28.7,21.88,9.1
07-11,23.98,27.64,21.82,7.5
07-12,23.8,27.56,21.26,2.9
07-13,24.28,27.78,21.48,5.4
07-14,23.66,26.26,21.7,6.2
07-15,24.04,26.38,22.44,12.2
07-16,25.24,28.4,22.92,7.8
07-17,25.7,29.04,23.1,2.2
07-18,26.66,31.14,23.38,0.3
07-19,26,29.12,23.68,0.8
07-20,26.48,31.1,23.34,1.5
07-21,26.16,29.72,23.36,0
07-22,26.46,29.68,23.78,2.5
07-23,26.72,30.5,23.78,0.2
07-24,27.14,30.96,23.8,0
07-25,27.6,31.9,23.76,0.6
07-26,27.18,30.82,23.92,7.1
07-27,27.12,31.7,24.24,5.7
07-28,27.3,31.68,23.76,5.6
07-29,26.9,30.38,24.22,2.4
07-30,27.14,30.98,24.52,0
07-31,27.04,31.02,24.14,0.8
08-01,26.74,30.56,23.84,2.5
08-02,27.62,32.32,24.84,5.9
08-03,27.5,30.84,24.24,0
08-04,26.82,30.8,24.04,0
08-05,27.1,30.44,24.28,0
08-06,26.8,29.76,23.98,0.4
08-07,26.94,30.24,24.46,1.5
08-08,27.38,30.6,24.58,11.1
08-09,27.86,31.26,24.68,1.9
08-10,28.28,32.9,25.32,0.7
08-11,27.78,31.7,24.72,0.9
08-12,26.82,30.76,24.04,2.6
08-13,25.64,28.64,23.68,18
08-14,25.68,28.86,23.36,18.5
08-15,25.34,28.38,23.02,14.7
08-16,26.22,29.38,23.68,5.2
08-17,26.34,29.94,23.96,7.7
08-18,26.74,30.48,24.02,0.5
08-19,27.22,31.16,23.88,1.5
08-20,26.94,30.88,23.76,1.7
08-21,26.74,30.22,24.22,0.8
08-22,26.42,29.42,24.18,0.3
08-23,27.04,30.22,24.5,3.7
08-24,27.16,30.34,24.68,0.2
08-25,26.94,30.54,24.7,0.1
08-26,27,29.94,24.14,0
08-27,26.74,30.08,24.36,7.7
08-28,26.04,29.76,23.24,8.2
08-29,25.7,28.7,23.14,4.6
08-30,25.88,28.98,23.04,25.2
08-31,26.22,29.52,23.7,1.2
09-01,25.7,28.8,23.44,3
09-02,25.16,28.8,22.8,11.9
09-03,24.68,27.3,22.8,1.8
09-04,24.08,26.58,22.46,25.4
09-05,24.64,27.94,22.4,18.2
09-06,24.42,27.82,21.52,4.3
09-07,24.64,28.12,21.38,2.1
09-08,24.02,26.76,21.4,53.8
09-09,24.68,27.58,23.04,6.5
09-10,25.08,28.22,22.64,0
09-11,25.22,28.22,23.26,0.1
09-12,25.44,28.5,23.22,0
09-13,25.14,28.52,22,3.5
09-14,25.16,28.34,22.82,0
09-15,24.66,27.8,22.36,0.7
09-16,24.08,27.76,20.9,0
09-17,25.52,29.18,21.84,0
09-18,25.82,29.72,23.38,21.3
09-19,24.48,27.7,21.78,9.1
09-20,24.12,28.5,19.96,4.4
09-21,22.22,25.96,18.9,0.1
09-22,22.14,25.26,18.78,2.9
09-23,21.68,24.6,19.54,9.9
09-24,21.68,25.26,18.84,5.1
09-25,21.56,24.96,18.7,0.2
09-26,22.36,25.5,19.86,0.1
09-27,22,25.02,19.62,0.1
09-28,22.5,25.84,19.92,0
09-29,22.96,26.7,20.02,0
09-30,22.48,25.76,19,0.1
10-01,21.3,24.52,17.88,17.6
10-02,21.74,26.9,17.22,2.6
10-03,20.82,24.78,17.1,1.5
10-04,22.94,27.22,19.4,1.2
10-05,20.86,25,17.66,3.6
10-06,18.98,23.04,15.88,1.4
10-07,18.94,22.1,16.14,5
10-08,19.34,23.68,15.58,4.8
10-09,18.22,20.8,16.24,14.8
10-10,19.875,23.375,16.175,3.375
10-11,19.22,22.74,15.92,4.1
10-12,18.16,21.18,14.78,0.3
10-13,18.18,20.78,15.16,3.1
10-14,18.26,22.24,14.92,1.9
10-15,18.64,22.14,14.48,5.9
10-16,19.52,22.9,16.18,1.3
10-17,18.34,22.4,14.34,4
10-18,17.34,20.52,13.42,9.1
10-19,18.3,22.26,14.84,0.4
10-20,16.74,21.2,12.58,2
