Date,Temp,Temp_max,Temp_min,precip
04-01,9.175,14.675,4.125,4
04-02,9.7,15.15,5.15,3.2
04-03,9.6,14.575,4.75,4.6
04-04,11.6,18.3,6.28,7.1
04-05,10.6,16.36,4.14,1.4
04-06,12.62,18.06,7.7,0.3
04-07,13.36,19.56,7.96,1.2
04-08,12.38,19.54,5.64,3.6
04-09,11.24,19.28,3.98,7.2
04-10,11.86,19.7,3.88,0.1
04-11,13.34,21.02,5.14,0.3
04-12,14.22,21.38,7.28,0.4
04-13,13.8,20.44,6.76,1.3
04-14,14.34,20.44,7.74,8.5
04-15,12.1,17.84,7.04,10.1
04-16,12.96,20.42,5.52,1
04-17,13.02,19.88,6.18,3.1
04-18,13.86,20.12,7.9,9.6
04-19,15.32,23.32,7.74,0
04-20,15.54,23.26,8.36,0.5
04-21,16.04,24.32,9.34,0.8
04-22,15.38,23.08,8.12,3.8
04-23,14.52,20.46,9.18,2.5
04-24,14,19.08,9.56,2.3
04-25,14.8,22.54,8.6,0.6
04-26,14.76,20.36,8.66,5.9
04-27,15.96,23.24,8.74,0.4
04-28,15.96,23.48,9,2.6
04-29,15.72,21.3,10.4,14.8
04-30,15.6,21.96,9.88,3.8
05-01,14.36,20.88,8.24,7.3
05-02,13.4,19.46,7.96,11.9
05-03,14.5,22.94,7.34,0.1
05-04,16.6,25.4,7.34,0
05-05,17.66,25.8,8.5,0.8
05-06,18.24,24.04,13.36,5
05-07,16.2,20.84,11.96,10.5
05-08,15.32,21.66,10.16,4
05-09,14.14,20.6,8.98,3.1
05-10,15.76,23.34,7.84,2.5
05-11,16.42,22.86,9.12,0
05-12,16.1,21.1,9.98,2.7
05-13,16.58,20.64,12.4,15.6
05-14,17.9,24.28,12.56,2.1
05-15,17.22,22.38,12.52,0.9
05-16,17.66,22.96,13.28,3.6
05-17,19.04,24.78,13.54,8.4
05-18,19.76,26.78,12.9,1.2
05-19,18.04,23.28,13.7,10
05-20,19.14,25.02,14.16,5.9
05-21,20.52,25.78,15.3,2.8
05-22,18.32,23.78,14.22,4.3
05-23,16.42,21.12,12.96,8.3
05-24,18.48,25.2,11.82,2.4
05-25,18.44,24.58,12.54,2.6
05-26,18.24,23.9,11.98,0
05-27,18.7,23.06,14.36,9.9
05-28,19.24,25.62,14.1,5.7
05-29,19.76,26.46,13.92,2.2
05-30,18.7,23.62,14.66,6.4
05-31,16.84,20.76,13.4,10.7
06-01,18.28,24.6,13.46,0.3
06-02,19.26,24.68,14.52,27.1
06-03,18.72,23.68,14.3,13.5
06-04,19.38,25.22,13.8,7.4
