Date,Temp,Temp_max,Temp_min,precip
04-01,10.34,15.32,4.98,24.5
04-02,10.88,15.46,5.9,16
04-03,10.58,14.92,5.64,5.6
04-04,11.98,17.76,7.2,12.4
04-05,11.38,16.88,5.74,2.6
04-06,13.3,18.24,8.7,1.3
04-07,13.56,18.78,9.54,2.4
04-08,12.94,18.88,6.14,1
04-09,11.98,19.32,4.76,5.9
04-10,12.34,19.48,4.74,2.4
04-11,14.12,20.78,6.78,0.1
04-12,15.06,20.76,9.68,0.1
04-13,14.66,20.16,8.34,1.4
04-14,14.84,20.16,9.66,9.6
04-15,12.94,17.54,8.66,9.8
04-16,13.62,20.18,7.68,2.8
04-17,14.28,20.22,7.64,2.8
04-18,14.42,20.04,8.52,10.1
04-19,15.84,22.96,9.26,0.1
04-20,16.34,22.48,10.12,1
04-21,15.92,22.4,9.92,1.4
04-22,15.22,22.5,8.72,5.3
04-23,14.86,19.68,11,3.1
04-24,14.2,18.48,10.5,3.3
04-25,15.64,22.4,9.86,0.6
04-26,15.46,20.52,9.8,4
04-27,16.32,22.76,8.92,0.2
04-28,16.6,22.72,9.94,3.6
04-29,16.4,21.64,11.78,16.8
04-30,16.04,21.42,10.24,1.8
05-01,15.38,20.98,9.28,10.3
05-02,13.94,19.4,8.74,17.4
05-03,14.78,22.5,7.58,0.7
05-04,17.06,24.72,8.26,0.1
05-05,18.62,25.34,10.54,0.2
05-06,18.54,23.04,14.8,7.5
05-07,16.62,21.96,12.84,11.2
05-08,15.66,20.94,11,12.3
05-09,14.92,20.76,9.4,2.7
05-10,16.26,22.62,8.98,2.3
05-11,16.78,22.42,10.5,0.1
05-12,16.38,20.76,11.08,1.9
05-13,17.2,21.3,13.24,13.8
05-14,18,23.46,13.52,1.8
05-15,17.86,22.78,13.12,0.7
05-16,17.94,22.84,14.2,7.4
05-17,20.08,25.44,14.94,6.4
05-18,20.34,26.66,14.24,0.4
05-19,18.22,23.32,13.84,4.7
05-20,18.96,24.7,14.64,6.5
05-21,20.88,26.3,15.7,1.5
05-22,18.28,23.3,14.42,3.4
05-23,16.7,20.92,13.24,9.4
05-24,18.46,24.38,12.78,1
05-25,18.26,23.28,13.16,4
05-26,18.54,23.84,12.68,0
05-27,18.66,22.12,15.22,12.6
05-28,19.56,25.52,14.86,3.8
05-29,20.02,25.62,14.56,2.1
05-30,18.92,22.86,15.44,5.6
05-31,17.08,20.86,13.78,13.6
06-01,18.34,23.8,13.94,0.3
06-02,19.84,24.82,15.06,37.8
06-03,18.94,23.38,15.32,31.5
06-04,19.42,24.98,14.5,2.5
06-05,20,25.88,15.28,0.3
06-06,19.8,24.52,14.86,5.3
06-07,20.42,26.12,16.72,1.4
06-08,20.22,25.64,15.86,1.4
06-09,20.34,25.5,16.38,12.2
06-10,20.36,24.7,17.06,2.7
06-11,20.98,24.96,17.86,9.3
06-12,20.92,25.7,16.48,1.3
06-13,20.84,25.26,16.88,1.6
06-14,21.12,25.24,18.24,2.9
06-15,21.36,26,18.24,2.9
06-16,22.52,28.12,18.42,3.7
06-17,23.32,29.56,18.36,0.2
06-18,22.68,28.12,17.4,11.4
06-19,22.44,27.28,18.16,2.8
06-20,22.96,28.72,18.42,3.5
06-21,22.1,27.02,18.18,5.9
06-22,22.14,27.12,17.82,1.9
06-23,22.22,25.98,19.94,7
06-24,24.38,29.68,21.02,0
06-25,25.08,30.34,21.48,3.3
06-26,25.04,30.84,21.5,3.2
06-27,24.48,29.78,20.6,0
06-28,24.06,29.76,20.1,9.6
06-29,24.52,31,20.44,7.1
06-30,25.66,31.4,20.84,0.2
07-01,25.56,30.12,22.68,6.7
07-02,25.2,30.68,21.82,17.3
