Date,Temp,Temp_max,Temp_min,precip
04-01,11.68,14.7,7.88,14.8
04-02,12.28,15.7,8.66,4.6
04-03,11.96,14.56,9.06,4.9
04-04,12.84,17.28,9.06,15.4
04-05,12.22,16.32,8.2,5.1
04-06,13.86,17.82,10.68,3.3
04-07,14.28,17.88,11.14,4.8
04-08,14.08,18.4,9.5,0.9
04-09,13.22,17.94,8.54,6.4
04-10,13.34,18.5,8.22,0.4
04-11,14.94,19.86,10,0
04-12,15.38,19.64,11.96,0.1
04-13,15.48,19.46,11.68,1.5
04-14,15.4,20.2,10.54,6.6
04-15,13.64,17.6,10.24,10.6
04-16,14.18,18.98,10.16,3
04-17,15.24,19.42,10.98,4.1
04-18,15.42,19.48,11.46,9
04-19,16.1,21.72,11.04,0.3
04-20,16.8,21.82,12.68,1.1
04-21,16.76,21.36,13.16,1.6
04-22,16.22,21.5,11.98,6.4
04-23,15.32,18.82,12.3,3.5
04-24,14.68,17.46,12.16,2.7
04-25,16.44,21.12,12.4,0
04-26,16.04,19.76,12.74,3.2
04-27,16.94,21.22,11.58,0.7
04-28,17.26,21.86,13.26,3.1
04-29,16.94,21.24,13.2,11.9
04-30,16.62,20.84,12.8,2.2
05-01,16.14,20.6,11.22,10.8
05-02,14.6,18.92,10.9,17.1
05-03,15.7,21.32,10.22,0.3
05-04,17.98,23.7,12.7,0
05-05,18.84,24.66,13.54,0.6
05-06,18.7,22.32,15.64,9.3
05-07,17.26,21.24,14.64,10.9
05-08,16.36,19.64,13.32,11.4
05-09,15.9,19.7,12.16,2.1
05-10,16.94,21.76,11.18,1.7
05-11,17.72,21.54,14.02,0.2
05-12,17.24,20.04,14.28,1.7
05-13,18.04,20.78,15,15.4
05-14,18.6,22.5,15.68,2.5
05-15,18.36,21.88,15.14,0.8
05-16,18.02,21.74,15.16,12.1
05-17,20.42,25.02,16,3.3
05-18,20.84,26.14,16.24,0.6
05-19,18.66,22.58,15.12,3
05-20,19.18,23.38,15.9,6.8
05-21,20.96,25.72,17.16,0.9
05-22,18.6,22.32,15.5,2.8
05-23,17.22,20.36,14.56,7
05-24,18.84,23.48,14.64,0.8
05-25,18.54,22.14,15,3.6
05-26,19.04,22.94,15.08,0
05-27,18.86,21.72,16.58,7.3
05-28,19.98,24.22,16.04,4.6
05-29,20.24,24.4,16.56,4.3
05-30,19,22.32,16.54,6.7
05-31,17.48,20.02,15.32,13.4
06-01,18.5,22.32,15.3,0.3
06-02,20.08,23.96,16.66,35.1
06-03,19.26,22.74,16.72,37.3
06-04,19.6,23.62,16.06,1.7
06-05,20.18,24.7,17.1,1.1
06-06,20.2,23.84,16.94,7.1
06-07,20.44,24.44,17.6,1.2
06-08,20.6,24.9,17.16,1.2
06-09,20.56,24.18,17.76,8.4
06-10,20.46,23.62,17.78,2.7
06-11,21.18,24.8,18.7,7.9
06-12,21,24.46,18.16,1.6
06-13,20.96,24.28,18.02,0.2
06-14,21.5,25.86,18.78,3.8
06-15,21.74,24.82,19.04,3
06-16,22.66,27.58,19.3,2.8
06-17,23.44,27.94,19.72,0
06-18,22.58,26.94,18.96,18.6
06-19,22.52,26.38,19.3,2.7
06-20,22.72,27.26,19.4,6
06-21,21.98,25.66,19.04,7.8
06-22,22.42,26.12,19.14,2.4
06-23,22.26,25.52,19.96,7.4
06-24,24.5,28.84,21.26,0
06-25,25.46,29.3,22.34,0.6
06-26,25.22,29.48,22.16,3
06-27,24.72,29.2,21.58,0.2
06-28,24.44,28.3,21.54,9.4
06-29,24.52,29.44,21.22,5.9
06-30,25.34,30.14,21.44,0.1
07-01,25.42,29.3,22.74,5.5
07-02,25.26,29.5,22.44,18.6
07-03,24.94,29.24,22.32,8.9
07-04,24.78,28.32,22.02,2.5
